# nu      SYN SPN       SSC Sari Esin     Syn flux       IC flux     Total spectrum     Total spectrum with pp
  1.4591852e+18   2.7747152e-31   2.3556865e-34   1.2105100e-31   1.2305047e-34    1.2040758e-31      1.2040760e-31
  1.8873384e+18   2.0640402e-31   2.1203268e-34   9.3255162e-32   1.1363872e-34    9.2778120e-32      9.2778079e-32
  2.4411201e+18   1.5353871e-31   1.9015900e-34   7.1645597e-32   1.0424188e-34    7.1295841e-32      7.1295833e-32
  3.1573920e+18   1.1421355e-31   1.6999381e-34   5.4898751e-32   9.5044536e-35    5.4645746e-32      5.4645748e-32
  4.0838319e+18   8.4960559e-32   1.5152965e-34   4.1959983e-32   8.6190868e-35    4.1780000e-32      4.1779999e-32
  5.2821073e+18   6.3200003e-32   1.3472085e-34   3.1992599e-32   7.7785549e-35    3.1867302e-32      3.1867301e-32
  6.8319799e+18   4.7012878e-32   1.1949545e-34   2.4335667e-32   6.9897944e-35    2.4250966e-32      2.4250966e-32
  8.8366151e+18   3.4971687e-32   1.0576442e-34   1.8469280e-32   6.2567845e-35    1.8414408e-32      1.8414406e-32
  1.1429449e+19   2.6014550e-32   9.3428580e-35   1.3986119e-32   5.5811504e-35    1.3952902e-32      1.3952902e-32
  1.4783071e+19   1.9351563e-32   8.2383852e-35   1.0568303e-32   4.9627388e-35    1.0550574e-32      1.0550573e-32
  1.9120710e+19   1.4395137e-32   7.2525135e-35   7.9686660e-33   4.4001024e-35    7.9618041e-33      7.9618035e-33
  2.4731096e+19   1.0708177e-32   6.3749078e-35   5.9956929e-33   3.8908829e-35    5.9962662e-33      5.9962660e-33
  3.1987679e+19   7.9655408e-33   5.5956031e-35   4.5014809e-33   3.4321199e-35    4.5069624e-33      4.5069625e-33
  4.1373483e+19   5.9253636e-33   4.9051362e-35   3.3721611e-33   3.0204927e-35    3.3807106e-33      3.3807105e-33
  5.3513265e+19   4.4077275e-33   4.2946272e-35   2.5203224e-33   2.6525028e-35    2.5306175e-33      2.5306175e-33
  6.9215093e+19   3.2787966e-33   3.7558242e-35   1.8790453e-33   2.3246033e-35    1.8901516e-33      1.8901516e-33
  8.9524141e+19   2.4390136e-33   3.2811207e-35   1.3972278e-33   2.0332976e-35    1.4084992e-33      1.4084992e-33
  1.1579226e+20   1.8143203e-33   2.8635523e-35   1.0359394e-33   1.7752087e-35    1.0469427e-33      1.0469427e-33
  1.4976795e+20   1.3496268e-33   2.4967797e-35   7.6558795e-34   1.5471269e-35    7.7604498e-34      7.7604498e-34
  1.9371276e+20   1.0039531e-33   2.1750607e-35   5.6372511e-34   1.3460355e-35    5.7346986e-34      5.7346986e-34
  2.5055184e+20   7.4681523e-34   1.8932173e-35   4.1335485e-34   1.1691292e-35    4.2230098e-34      4.2230098e-34
  3.2406860e+20   5.5553689e-34   1.6465977e-35   3.0163252e-34   1.0138209e-35    3.0974931e-34      3.0974931e-34
  4.1915660e+20   4.1324979e-34   1.4310373e-35   2.1886754e-34   8.7774084e-36    2.2616206e-34      2.2616206e-34
  5.4214527e+20   3.0740603e-34   1.2428186e-35   1.5776053e-34   7.5873099e-36    1.6426467e-34      1.6426467e-34
  7.0122119e+20   2.2867154e-34   1.0786327e-35   1.1282174e-34   6.5483627e-36    1.1858274e-34      1.1858274e-34
  9.0697306e+20   1.7010295e-34   9.3554126e-36   7.9928586e-35   5.6429359e-36    8.5002323e-35      8.5002320e-35
  1.1730965e+21   1.2653527e-34   8.1094104e-36   5.5989594e-35   4.8551922e-36    6.0435826e-35      6.0435824e-35
  1.5173058e+21   9.4126375e-35   7.0253032e-36   3.8689540e-35   4.1709530e-36    4.2568637e-35      4.2568634e-35
  1.9625126e+21   7.0018221e-35   6.0827777e-36   2.6296607e-35   3.5775668e-36    2.9667377e-35      2.9667374e-35
  2.5383519e+21   5.2084777e-35   5.2639374e-36   1.7516752e-35   3.0637771e-36    2.0435053e-35      2.0435051e-35
  3.2831534e+21   3.8744543e-35   4.5530403e-36   1.1383834e-35   2.6195945e-36    1.3901755e-35      1.3901752e-35
  4.2464942e+21   2.8821082e-35   3.9362596e-36   7.1768667e-36   2.2361751e-36    9.3423073e-36      9.3423053e-36
  5.4924979e+21   2.1439271e-35   3.4014672e-36   4.3579013e-36   1.9057075e-36    6.2144408e-36      6.2144390e-36
  7.1041031e+21   1.5948130e-35   2.9380382e-36   2.5256322e-36   1.6213054e-36    4.1125771e-36      4.1125754e-36
  9.1885845e+21   1.1863409e-35   2.5366759e-36   1.3809992e-36   1.3769107e-36    2.7335571e-36      2.7335556e-36
  1.1884693e+22   8.8248887e-36   2.1892545e-36   7.0199635e-37   1.1672793e-36    1.8515930e-36      1.8515916e-36
  1.5371892e+22   6.5646107e-36   1.8886790e-36   3.2551182e-37   9.8768189e-37    1.2999286e-36      1.2999272e-36
  1.9882303e+22   4.8832472e-36   1.6287602e-36   1.3436544e-37   8.3402283e-37    9.5807489e-37      9.5807351e-37
  2.5716156e+22   3.6325236e-36   1.4041044e-36   4.7838818e-38   7.0283095e-37    7.4239198e-37      7.4239053e-37
  3.3261774e+22   2.7021421e-36   1.2100148e-36   1.4100271e-38   5.9096720e-37    5.9827230e-37      5.9827073e-37
  4.3021422e+22   2.0100549e-36   1.0424049e-36   3.2613040e-39   4.9570928e-37    4.9332486e-37      4.9332312e-37
  5.5644741e+22   1.4952288e-36   9.9408150e-37   5.5187771e-40   4.1477114e-37    4.1061288e-37      4.1061093e-37
  7.1971985e+22   1.1122628e-36   8.2758247e-37   6.2311385e-41   3.4610163e-37    3.4223613e-37      3.4223396e-37
  9.3089959e+22   8.2738404e-37   6.8878955e-37   4.1564645e-42   2.8787589e-37    2.8461332e-37      2.8461091e-37
  1.2040436e+23   6.1546998e-37   5.7311795e-37   1.3940765e-43   2.3879118e-37    2.3608161e-37      2.3607895e-37
  1.5573333e+23   4.5783250e-37   4.7673790e-37   1.8980882e-45   1.9731783e-37    1.9507875e-37      1.9507582e-37
  2.0142850e+23   3.4056997e-37   3.9645087e-37   7.9035564e-48   1.6250180e-37    1.6065780e-37      1.6065460e-37
  2.6053152e+23   2.5334136e-37   3.2958596e-37   6.9428121e-51   1.3331024e-37    1.3179749e-37      1.3179401e-37
  3.3697651e+23   1.8845420e-37   2.7391323e-37   7.9584898e-55   1.0893314e-37    1.0769701e-37      1.0769324e-37
  4.3585195e+23   1.4018630e-37   2.2757126e-37   6.4353993e-60   8.8600526e-38    8.7595123e-38      8.7591087e-38
  5.6373935e+23   1.0428103e-37   1.8900651e-37   1.6712893e-66   7.1824137e-38    7.1009105e-38      7.1004798e-38
  7.2915139e+23   7.7572009e-38   1.5692263e-37   5.0691422e-75   5.8011843e-38    5.7353548e-38      5.7348979e-38
